a_input,ampl_rec,cstart,cstop,dur,ed_rec,ed_rec_err,inlc,istart,istop,phi0,theta,total_n_valid_data_points,tstart,tstop,Protratio
0.5,0.22730769216744506,,,0.47264770240700216,3633.885706124642,66.61930717853275,1.0,729.0,765.0,7.4,29.999999999999996,3200.0,10.571115973741794,11.043763676148796,1.1816192560175054
0.5,0.29305670560920327,,,0.4857768052516409,3766.343796533531,65.10404107642972,6.0,729.0,766.0,3.4,29.999999999999996,3200.0,10.571115973741794,11.056892778993435,1.2144420131291023
0.5,0.1224615159068323,,,0.4332603938730859,2479.4169322118355,66.55297639775993,24.0,729.0,762.0,1.4,29.999999999999996,3200.0,10.571115973741794,11.00437636761488,1.0831509846827148
0.5,0.2004902254768497,,,0.2625820568927786,2777.5546355112347,54.13549530978679,39.0,733.0,753.0,-0.4,29.999999999999996,3200.0,10.62363238512035,10.886214442013129,0.6564551422319465
0.5,0.19011498103405988,,,0.22319474835886233,2395.143602124918,50.46991477892181,56.0,735.0,752.0,-0.4,29.999999999999996,3200.0,10.649890590809628,10.87308533916849,0.5579868708971558
0.5,0.18375537573082967,,,0.19693654266958482,2134.76501810215,47.29799947291188,70.0,736.0,751.0,-0.4,29.999999999999996,3200.0,10.663019693654267,10.859956236323852,0.49234135667396206
0.5,0.21591231571717473,,,0.19693654266958305,2361.630545316477,47.76552058969463,81.0,735.0,750.0,5.4,29.999999999999996,3200.0,10.649890590809628,10.846827133479211,0.4923413566739576
0.5,0.16186022389217625,,,0.19693654266958482,1826.9359102886372,46.32603572932864,86.00000000000001,737.0,752.0,-0.4,29.999999999999996,3200.0,10.676148796498905,10.87308533916849,0.49234135667396206
1.0,0.4621171795405956,,,0.8402625820568925,8069.626513666628,85.68652659536792,1.0,728.0,792.0,1.4,29.999999999999996,3200.0,10.557986870897155,11.398249452954047,2.1006564551422313
1.0,0.44294775723209456,,,0.8008752735229763,8181.51691825133,84.47833487146133,6.0,727.0,788.0,5.4,29.999999999999996,3200.0,10.544857768052516,11.345733041575492,2.0021881838074407
1.0,0.70789529364313,,,0.577680525164114,8253.806562841493,75.8345337130394,24.0,727.0,771.0,3.4,29.999999999999996,3200.0,10.544857768052516,11.12253829321663,1.4442013129102849
1.0,0.18251928423364738,,,0.4595185995623634,4196.555937315734,69.23135482670297,39.0,728.0,763.0,1.4,29.999999999999996,3200.0,10.557986870897155,11.017505470459518,1.1487964989059085
1.0,0.4390486452490283,,,0.26258205689278036,5933.731518873277,61.15299663731788,56.0,732.0,752.0,5.4,29.999999999999996,3200.0,10.61050328227571,10.87308533916849,0.6564551422319509
1.0,0.3521910593845057,,,0.2625820568927786,4500.648135052922,56.90053118882568,70.0,734.0,754.0,-0.4,29.999999999999996,3200.0,10.63676148796499,10.899343544857768,0.6564551422319465
1.0,0.3967199494013893,,,0.23632385120350108,4721.074525401352,56.16718109239786,81.0,733.0,751.0,5.4,29.999999999999996,3200.0,10.62363238512035,10.859956236323852,0.5908096280087527
1.0,0.30494270773209653,,,0.22319474835886233,3586.2386468773047,52.45347263254981,86.00000000000001,736.0,753.0,-0.4,29.999999999999996,3200.0,10.663019693654267,10.886214442013129,0.5579868708971558
2.0,0.8416172939382811,,,1.102844638949671,15937.914521032473,104.63080898239565,1.0,727.0,811.0,1.4,29.999999999999996,3200.0,10.544857768052516,11.647702407002187,2.7571115973741778
2.0,0.7835180124918988,,,1.102844638949671,16332.53315648491,105.49698600750033,6.0,727.0,811.0,-0.4,29.999999999999996,3200.0,10.544857768052516,11.647702407002187,2.7571115973741778
2.0,1.2731884002209495,,,0.9452954048140043,17068.11524711126,103.65666863541735,24.0,727.0,799.0,3.4,29.999999999999996,3200.0,10.544857768052516,11.49015317286652,2.363238512035011
2.0,0.5985415226748252,,,0.7483588621444213,13503.836291167538,92.28716454585947,39.0,729.0,786.0,-0.4,29.999999999999996,3200.0,10.571115973741794,11.319474835886215,1.8708971553610532
2.0,0.33475157914077736,,,0.49890590809627966,7359.0148113679425,76.38941190671477,56.0,727.0,765.0,1.4,29.999999999999996,3200.0,10.544857768052516,11.043763676148796,1.2472647702406991
2.0,0.7566940008891576,,,0.3019693654266966,10296.134928961825,73.28381321321724,70.0,731.0,754.0,5.4,29.999999999999996,3200.0,10.597374179431071,10.899343544857768,0.7549234135667415
2.0,0.5708333301502133,,,0.2888402625820561,7730.382874010971,66.64236309401952,81.0,733.0,755.0,-0.4,29.999999999999996,3200.0,10.62363238512035,10.912472647702407,0.7221006564551402
2.0,0.6796537897818218,,,0.2757111597374191,8632.708616784335,68.11458458906402,86.00000000000001,731.0,752.0,5.4,29.999999999999996,3200.0,10.597374179431071,10.87308533916849,0.6892778993435478
0.25,0.17645550894417772,,,0.34135667396061287,2193.727037246683,56.78843215944058,1.0,729.0,755.0,1.4,45.0,3200.0,10.571115973741794,10.912472647702407,0.8533916849015322
0.25,0.15264933569211991,,,0.3544857768052516,2103.8335021930266,58.301707109998674,6.0,730.0,757.0,7.4,45.0,3200.0,10.584245076586432,10.938730853391684,0.886214442013129
0.25,0.1041148408315209,,,0.36761487964989037,1708.7284287967243,60.19979178840551,24.0,729.0,757.0,1.4,45.0,3200.0,10.571115973741794,10.938730853391684,0.9190371991247259
