TIC,Sector,snr,period_d,period_h,angDist,designation,ra,ra_error,dec,dec_error,parallax,g_rp,RAdeg,DEdeg,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,Vmag,e_Vmag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,Dist,s_Dist,E(B-V),s_E(B-V),e_Dist,E_Dist,RAOdeg,DEOdeg
402341182,2,3.17232402058773,0.290286768147034,6.96688243552882,2.858374,Gaia DR2 2395433213805222016,354.169613143502,0.118923185962106,-16.3753613970528,0.087698196412851,31.1567202134513,1.3903255,354.1691073036,-16.37473299631,,,,23364060-1622292,,J233640.67-162230.5,2.39543321380522E+018,,,STAR,tmgaia2,tmgaia2,112.72,0.262,-145.951,0.157,gaia2,31.1567,0.1129,17.59,0.2,15.7664,0.000974,14.23,0.008,cdwrf,cdwrf,2913,157,5.1708,0.0449,,,0.151,0.005,0.123,0.02,32.0668,0.117,,,0.1166,0.1174,354.1696131435,-16.37536139705
446157830,19,3.25008658992281,0.288712333870584,6.92909601289401,2.319444,Gaia DR2 557019054560104576,88.8586683505696,0.049603270409772,81.6449493985954,0.055749825432737,24.8118030943168,1.2919312,88.85760339767,81.64557483079,,,859-004636,05552582+8138439,,J055525.99+813842.5,5.57019054560105E+017,,,STAR,tmgaia2,tmgaia2,35.938,0.099,-145.262,0.108,gaia2,24.8118,0.0631,16.66,0.2,15.077,0.000541,13.68,0.007,cdwrf,cdwrf,3125,157,5.0484,0.0229,,,0.209,0.006,0.178,0.02,40.2568,0.1031,,,0.1028,0.1034,88.85866835057,81.6449493986
160603678,14,3.39165622152079,0.287320114952663,6.8956827588639,1.042013,Gaia DR2 1704115587079372672,245.028060313811,0.064337161613226,76.2007337405858,0.057570827176885,20.2498781331105,1.3502283,245.02710629992,76.20091262812,,,,16200648+7612033,,J162006.66+761202.8,1.70411558707937E+018,,,STAR,tmgaia2,tmgaia2,52.85,0.122,-41.549,0.119,gaia2,20.2499,0.0629,18.1,0.2,16.205999,0.001383,14.73,0.008,cdwrf,cdwrf,3006,157,5.1173,0.0351,,,0.173,0.005,0.143,0.02,49.3133,0.154,,,0.1536,0.1545,245.02806031381,76.20073374059
316577292,11,2.98390131504677,0.28458008619392,6.82992206865408,1.983614,Gaia DR2 5865076570640493184,203.571816074141,0.034791098359205,-63.2408223196483,0.034911784891929,23.1307673923229,1.2844114,203.57276539904,-63.24047459766,,,134-096971,13341746-6314256,,J133417.32-631426.4,5.8650765706405E+018,,,STAR,tmgaia2,tmgaia2,-99.274,0.061,-80.76,0.068,gaia2,23.1308,0.049,16.579,0.069,14.4932,0.000817,13.108,0.007,cdwrf,cdwrf,3153,157,4.955,0.009,,,0.275,0.008,0.248,0.02,43.1787,0.092,,,0.0918,0.0922,203.57181607414,-63.24082231965
348721657,5,2.54333121785824,0.280106626824608,6.7225590437906,2.113603,Gaia DR2 3311671955631826944,62.6706002477157,0.131527717143139,14.733452028911,0.085348574118462,22.6233050492103,1.4352436,62.66999985914,14.73353891425,,,,04104079+1444007,,J041040.89+144400.5,3.31167195563183E+018,,,STAR,tmgaia2,tmgaia2,134.86,2,-20.18,2,sblink,,,18.59,0.2,16.0938,0.001246,14.499,0.008,cdwrf,cdwrf,2868,157,5.0731,0.0264,,,0.195,0.006,0.164,0.02,,,,,,,62.67060024772,14.73345202891
260655797,5,3.59181601353529,0.278277932710339,6.67867038504814,3.462318,Gaia DR2 5497771860749716096,98.099431810769,0.074208322834272,-55.7285598014437,0.08217854846584,26.0982302516667,1.4394827,98.09896940122,-55.72948563711,,,,06322375-5543461,,J063223.83-554343.8,5.49777186074972E+018,,,STAR,tmgaia2,tmgaia2,60.476,0.167,215.033,0.162,gaia2,26.0982,0.0778,18.9,0.2,16.5881,0.001237,14.985,0.008,cdwrf,cdwrf,2857,157,5.1935,0.0497,,,0.143,0.004,0.116,0.02,38.2749,0.1148,,,0.1145,0.1152,98.09943181077,-55.72855980144
99028324,10,3.07531373683949,0.276832673619132,6.64398416685918,4.542716,Gaia DR2 3489185565315851136,181.308463163881,0.059801130948052,-25.5641861999528,0.070645967864911,25.7434813840983,1.2942572,181.30754597719,-25.56323345945,,,323-068020,12051378-2533471,,,3.48918556531585E+018,,,STAR,tmgaia2,tmgaia2,192.171,0.107,-221.281,0.116,gaia2,25.7435,0.0766,16.14,0.2,14.6372,0.000482,13.239,0.007,cdwrf,cdwrf,3134,157,4.999,0.0155,,,0.241,0.007,0.211,0.02,38.8017,0.1162,,,0.1158,0.1166,181.30846316388,-25.56418619995
231910539,2,3.23912686150459,0.27512752755551,6.60306066133224,1.645408,Gaia DR2 4901934140151066624,6.88958372079249,0.039345012832389,-61.9549411974117,0.036118206540273,23.0562675813261,1.2703934,6.88875722668,-61.95470057509,,,141-000416,00273330-6157169,,J002733.43-615717.5,4.90193414015107E+018,29731919,,STAR,tmgaia2,tmgaia2,90.254,0.082,-55.886,0.073,gaia2,23.0563,0.049,15.265,0.114,13.4366,0.000724,12.069,0.007,cdwrf,cdwrf,3179,157,4.824,0.0037,,,0.403,0.012,0.395,0.02,43.318,0.0927,,,0.0925,0.0929,6.88958372079,-61.95494119741
77113678,22,2.50621533085685,0.274092252399778,6.57821405759468,0.358914,Gaia DR2 3971186483402443008,167.205184892679,0.080026666174576,16.7837028006968,0.061054583150278,27.2253204577668,1.3480883,167.20526106587,16.78363482113,,,,11084926+1647011,,J110849.25+164701.2,3.97118648340244E+018,,,STAR,tmgaia2,tmgaia2,-16.938,0.165,15.789,0.115,gaia2,27.2253,0.0791,,,15.5163,0.001269,14.041,0.009,cdwrf,cdwrf,3002,157,5.1027,0.0325,,,0.18,0.005,0.15,0.02,36.692,0.1073,,,0.107,0.1076,167.20518489268,16.7837028007
352239584,24,3.85898274210234,0.273366877372469,6.56080505693926,2.480777,Gaia DR2 2238696388159825920,292.201283469837,0.056275967836751,59.2619115894259,0.060198003615926,21.3336095355354,1.3197203,292.20044788769,59.26137078744,,,747-056927,19284810+5915409,,J192848.24+591542.3,2.23869638815983E+018,,,STAR,tmgaia2,tmgaia2,99.194,0.137,125.605,0.12,gaia2,21.3336,0.06,17.54,0.2,15.323,0.00086,13.89,0.008,cdwrf,cdwrf,3078,157,5.0197,0.0184,,,0.227,0.007,0.196,0.02,46.8115,0.1326,,,0.1322,0.1329,292.20128346984,59.26191158943
