,istart,istop,cstart,cstop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,snr,period,period_h,TIC,Sector,note,dur_over_period,
905,16090,16101,324175,324186,1677.70017627949,1677.71545408346,186.286816355556,3.57499880801195,0.43636167049408,0.015277803977824,19282,2.00931614594316,0.056822998621379,1.36375196691309,394356010,13,I,0.268866556649404,
1586,8881,8889,316232,316240,1666.66818396448,1666.67929514653,88.5792393263376,3.37274731561677,0.272029161453247,0.01111118204426,19282,2.00931614594316,0.056822998621379,1.36375196691309,394356010,13,I,0.195540226912269,
998,1112,1119,308331,308338,1655.69446281913,1655.70418516445,124.981923088879,3.90193641643918,0.406360626220703,0.009722345318551,19282,2.00931614594316,0.056822998621379,1.36375196691309,394356010,13,I,0.171098772582077,
1875,10109,10118,259525,259534,1587.91210919032,1587.92460935451,137.616556549627,3.82894721269453,0.235355138778686,0.012500164188623,15538,2.24381264762944,0.051553389301153,1.23728134322768,390586370,10,I,0.242470269328023,
1499,14021,14027,263457,263463,1593.3732697956,1593.38160316357,72.3429418063596,2.63769428263587,0.284512758255005,0.008333367974501,15538,2.24381264762944,0.051553389301153,1.23728134322768,390586370,10,I,0.161645394948158,
1665,15183,15190,87589,87607,1349.1118505991,1349.1368497562,186.775790634459,0.756985292218531,0.258742213249207,0.024999157101775,17804,7.80796284510121,0.099259419105569,2.38222605853366,389426731,1,I,0.251856774168573,
1870,4615,4639,75376,75400,1332.14825988357,1332.18159315941,200.660075150512,2.84052744828078,0.235920190811157,0.033333275840278,17804,5.61562712412274,0.143210380758498,3.43704913820396,389051009,1,I,0.232757399734097,
2225,14859,14873,422338,422352,1814.03689964428,1814.05634372685,255.025194373169,14.6591825383547,0.201045870780945,0.019444082573728,14940,2.06091323461328,0.051664084218311,1.23993802123946,387446084,18,I,0.376355893420376,
856,7668,7674,415024,415030,1803.87876234218,1803.88709552671,221.012293623364,10.3655758351157,0.458350658416748,0.008333184531921,14940,2.06091323461328,0.051664084218311,1.23993802123946,387446084,18,I,0.161295504565772,
1348,6014,6040,430146,430172,1824.88277892563,1824.91889006699,432.70550756239,6.48356458147505,0.314239025115967,0.036111141358106,16404,4.30844633892943,0.207810447814719,4.98745074755326,385445333,19,I,0.173769614270319,
2172,4034,4047,332510,332523,1689.27314857933,1689.29120438772,85.319346274461,1.63221668825419,0.205320835113525,0.018055808395729,18125,2.26901897088598,0.062261899284737,1.49428558283368,383553281,14,I,0.289997712937665,
692,9595,9608,574192,574205,2024.9422134157,2024.96026896499,214.572944085058,1.9824289125266,0.53996193408966,0.018055549287283,16642,2.10182686804413,0.097034233014438,2.3288215923465,383553281,26,I,0.186074014565524,
543,1276,1292,507355,507371,1932.11996311295,1932.14218607294,262.114006789423,3.50943922491848,0.644202828407288,0.022222959987857,12843,2.70883339029952,0.102994320623989,2.47186369497574,379190818,23,norot,0.215768790484948,
646,9618,9634,498469,498485,1919.77305245674,1919.79527430589,201.034012328245,1.8172065083748,0.563658595085144,0.022221849148991,14288,2.1216278795285,0.084591631715489,2.03019916117173,376870091,22,I,0.262695596459598,
1872,10891,10940,475304,475357,1887.6020853234,1887.6756948375,628.183615510347,8.74718646297216,0.235863327980041,0.073609514095551,18015,2.4527919996801,0.053673006828006,1.28815216387215,372732576,21,I,1.37144383081483,
1668,9978,9988,417368,417378,1807.13499269275,1807.14888138254,113.425445515011,2.75373953143271,0.258625030517578,0.013888689781652,14892,2.17931986171213,0.058706194375005,1.40894866500011,372061167,18,I,0.23657963064227,
1509,12318,12329,419817,419828,1810.53859347146,1810.55387101881,170.354671023202,3.88548561514566,0.283017754554749,0.015277547350706,14834,2.04023874728755,0.05791990993236,1.39007783837664,370943224,18,I,0.263770219403784,
892,9772,9795,417164,417187,1806.85384861546,1806.88579245598,380.450760239513,8.4501016102318,0.443756937980652,0.031943840512895,14908,4.09118559254634,0.177183750766048,4.25241001838515,370065236,18,I,0.180286512588129,
1704,13741,13755,421205,421226,1812.46622046812,1812.49538636765,353.858331598098,10.8864717032424,0.253361821174622,0.029165899527925,14908,4.09118559254634,0.177183750766048,4.25241001838515,370065236,18,I,0.164608207027039,
378,586,598,424658,424670,1817.26354779901,1817.28021487452,307.852292303438,5.44286732431957,0.869768261909485,0.016667075506803,16442,2.01709336692751,0.050267016019176,1.20640838446022,367440157,19,I,0.331570815750129,
608,10901,10910,436020,436029,1833.04422597802,1833.05672590804,278.234898365674,5.29384433779239,0.591182589530945,0.012499930027161,16442,2.01709336692751,0.050267016019176,1.20640838446022,367440157,19,I,0.248670619763713,
