designation,ra,ra_error,dec,dec_error,parallax,g_rp
Gaia DR2 4506629198550655360,285.862409414216,1.47962945485597,14.3267717463278,1.6942588177788,32.3035179206633,1.3874264
Gaia DR2 4261706077130089472,286.126812587135,1.19176299056971,-2.46727154193774,1.2198566969709,20.5971697010185,1.387434
Gaia DR2 513697884112730752,34.4041418649353,0.057536760160594,61.3950106666096,0.065419622235662,21.2645264910878,1.3874407
Gaia DR2 2357390248923924736,13.7076491434751,0.428986981079833,-18.3892627954852,0.245776613667164,25.8891957990596,1.3874493
Gaia DR2 1131673549775712000,143.231389079179,0.055945588759181,77.7251121263913,0.064598243273494,25.7722466621722,1.3874521
Gaia DR2 4935904101647540608,22.0293112817382,0.05894713428271,-42.4232337366971,0.060590724170359,27.0020978657724,1.3874569
Gaia DR2 4099658747827943936,280.733139543333,0.125376923259334,-16.6573318426881,0.105760249687607,29.8665257118877,1.3874569
Gaia DR2 4336064983359182976,254.991019369263,0.104060446238612,-9.63856484223749,0.076848166258136,23.9554192185729,1.3874588
Gaia DR2 1821540607134081536,297.607594293739,0.531933033659363,18.4588875957642,0.611034862776539,26.6631572826214,1.3874664
Gaia DR2 5645598892707478400,128.918858250812,0.817515893271414,-28.6742768108906,1.01616662356142,20.2281117908508,1.3875027
Gaia DR2 4261334717105632896,287.249267923842,0.112903755537696,-2.37685451035756,0.102636759632096,25.9787098799672,1.3875074
Gaia DR2 4516701476647604992,290.467532409819,0.489103196658127,20.3732421037207,0.553312512744531,20.1029774301729,1.3875332
Gaia DR2 2022771271089037312,290.63755282646,0.930316775914518,24.0050386462231,1.52449156493961,20.5913988641053,1.3875751
Gaia DR2 5955401519538929408,264.281176407013,1.20080671415236,-44.1739618516341,1.25176308077695,21.9856837404214,1.3875923
Gaia DR2 6784484517204213248,319.372529254216,0.116590300181265,-31.3756762253569,0.072383349030879,28.0283944925298,1.3875933
Gaia DR2 2186625338540629504,306.945941187386,0.068104076247481,55.4454855501124,0.071948743101283,24.8215662502494,1.3876343
Gaia DR2 3747304716029120896,156.78777856101,0.126310104818266,-18.3993888054234,0.086986605573283,26.159297760941,1.3876534
Gaia DR2 311435431617828608,15.3416451382031,0.173160208369519,29.5748537802857,0.084850737798021,21.0932510839035,1.3877287
Gaia DR2 4052402734470446848,273.528397523405,0.826733046553466,-27.702147915867,0.685436659092448,23.6350586754149,1.3877449
Gaia DR2 3735557430718857216,192.923101011781,0.058784995570851,10.995460298569,0.040837624964459,21.6462434417692,1.3877583
Gaia DR2 4251592941003045504,282.054456587936,1.12688958953281,-8.47238081239159,1.02161762997872,25.4038386887964,1.3877888
Gaia DR2 4284736924423471104,278.272145361447,0.902064599046056,5.6214085109872,1.08507726931232,37.3780401763948,1.3877926
Gaia DR2 5555151283794725760,95.1106489330558,0.059538611761746,-45.5909848717574,0.070271972698449,24.0428663565794,1.387825
Gaia DR2 5355906720157354368,152.611193125133,0.069150837551327,-55.7771895684468,0.060537698347727,26.4568597900334,1.3878517
Gaia DR2 6005710975401971456,231.209819674348,1.25631141257931,-40.6640079602146,1.31436803681449,33.0226374154974,1.3878574
Gaia DR2 3999645142864600320,179.995493502945,0.096629886269411,21.0832050178513,0.072964189068335,49.4538558025526,1.3879013
Gaia DR2 6386850466345857920,359.592313061792,0.07132250808357,-69.5236406437871,0.059529181366427,24.2875663186406,1.387929
Gaia DR2 5718737070458958976,116.134866332136,0.752463789813909,-17.3734817140116,0.744382050238516,24.9849328802555,1.3879318
Gaia DR2 3266937637860051840,47.8149773103401,0.08515194921,1.10850468981549,0.064347318642673,59.2030978472059,1.3880033
Gaia DR2 4079226385771590656,279.435913304136,1.74859441175605,-22.6717888982222,1.72324010870493,46.740203897538,1.3880482
Gaia DR2 4441168502450292096,254.772373495203,0.063634542130771,6.59226030582657,0.05687455318905,20.8785394767188,1.3880711
Gaia DR2 2604170651615629696,344.14066011704,0.12101880536117,-11.1665114527187,0.082854688650186,31.4356465463155,1.3880816
Gaia DR2 4807982211588274176,83.7297871505087,0.059259707997853,-40.0722461822933,0.071855201323972,20.6191531084211,1.3880825
Gaia DR2 4774146871547078016,70.2295463388967,0.06391577732664,-58.9158967971632,0.065212900793125,33.4923831773123,1.3881159
Gaia DR2 4302835027557385472,296.319804062653,1.34757725098967,10.9951073708398,0.898045161596513,21.5410175478038,1.3881245
